,logFC,logCPM,PValue,FDR
YBR022W,-0.130071635,4.560529807,0.513153799,0.609705026
YHR155W,-0.118943848,5.496574776,0.513300748,0.609757182
YPR183W,0.085164067,8.328642421,0.513485831,0.609854609
YAL048C,-0.141631243,4.389570318,0.514114492,0.610416111
YDL140C,-0.060418231,9.029325234,0.514164931,0.610416111
YLR344W,-0.069175476,9.249828509,0.514650387,0.610762753
YPL029W,-0.144065582,4.929816196,0.514663357,0.610762753
YOR284W,0.183010339,4.117848633,0.517145934,0.613585821
YML073C,-0.053700032,9.808741071,0.517605827,0.614008356
YEL003W,0.118596905,5.272853929,0.518655062,0.615073143
YNL021W,0.09315222,5.878021176,0.518781344,0.615073143
YML095C,-0.203423999,3.5942763,0.518815287,0.615073143
YBR038W,-0.090731994,6.043282819,0.520335929,0.616711075
YBL101C,-0.129348448,7.000816516,0.52040534,0.616711075
YOR304C-A,0.181352252,3.77984681,0.520661451,0.61689103
YLR177W,-0.067405546,7.981864506,0.521006696,0.6171765
YNR071C,0.187423637,3.476043651,0.521485436,0.617619961
YNL211C,0.321987708,2.683333783,0.521630899,0.617668608
YKL176C,0.073026379,6.523714202,0.522155518,0.618148058
YPL190C,0.0582773,7.473969587,0.522244742,0.618148058
YDR508C,-0.083764009,8.05718576,0.522484343,0.618307972
YDR409W,0.07915438,5.917996108,0.523243111,0.619082081
YOR180C,0.161326034,4.368961719,0.523835372,0.619658916
YDR524W-C,0.244295548,7.711718349,0.524052114,0.619737373
YGL032C,0.147949214,4.275078804,0.524111174,0.619737373
YBR120C,0.14273231,4.395540967,0.524351002,0.619897078
YIL104C,-0.218845021,4.283674177,0.525117639,0.620679399
YDR036C,-0.087719367,5.894969237,0.52537909,0.620864405
YGR102C,0.13659298,5.050215277,0.525613625,0.621017536
YLR340W,0.055824648,11.6804024,0.526094574,0.621461688
YGL173C,0.05434442,8.372038036,0.52680889,0.621993407
YNL311C,-0.101317668,5.131559423,0.526851252,0.621993407
YNL126W,0.179910426,4.299758758,0.526860057,0.621993407
YMR005W,0.099726627,5.987438126,0.527191734,0.62226082
YLR393W,-0.17479216,4.002638202,0.527336608,0.62230768
YAR064W,0.393715293,2.407095744,0.52746393,0.622333813
YCR043C,0.107656293,5.365710391,0.527889951,0.622675621
YOR234C,-0.077327579,8.30028193,0.528005361,0.622675621
YDR420W,0.083701877,6.774256026,0.528069336,0.622675621
YHR214W,0.38220928,3.548658069,0.528276124,0.622795343
YOR382W,0.100251978,9.381409034,0.529829768,0.624502538
YLR384C,0.072135842,7.58673191,0.530618277,0.625307379
YIL030C,0.060784194,7.446770247,0.531010617,0.625645126
YBR045C,0.287965412,3.45710987,0.531769124,0.626359553
YKL183C-A,0.677954039,1.120196085,0.531828696,0.626359553
YFL021W,0.128899453,6.14233362,0.532202661,0.626675252
YGL249W,0.212234947,3.347411816,0.532834631,0.62729457
YNL284C-B,-0.11789222,6.751720213,0.533954925,0.628488421
YDR180W,-0.182492959,4.826979468,0.534109308,0.628545102
YDR270W,0.12684993,5.722326592,0.535171181,0.629669492
YNL034W,-0.495145372,1.816125792,0.535703033,0.63016995
YBR087W,0.109223604,5.766282238,0.535870805,0.63024201
YHR037W,0.076554407,6.791903917,0.536737934,0.631136398
YOL145C,0.118009883,7.156484464,0.536874357,0.631171383
YLR216C,0.060945334,7.884095432,0.537335011,0.631468592
YML005W,0.13259903,4.622378207,0.537340605,0.631468592
YLR107W,0.103814698,5.464318892,0.53843593,0.632630143
YBL097W,0.161184974,4.124300009,0.538641927,0.632630191
YKR059W,-0.054016539,9.605679034,0.538649806,0.632630191
YGR014W,-0.078962621,7.223698276,0.539663223,0.63369464
YGR149W,0.091967955,5.55162124,0.540144891,0.634134389
YGR071C,-0.126455412,5.308796559,0.540489013,0.634412515
YER060W-A,0.146847588,4.076230078,0.541245612,0.635057624
YKR015C,0.14167014,4.560647464,0.54125327,0.635057624
YDL008W,-0.081174021,5.462410854,0.542846478,0.636800676
YGR148C,-0.086505493,9.060440202,0.544087621,0.637954615
YJL072C,0.149453054,4.63538716,0.544150252,0.637954615
YGL139W,0.082963097,6.438871703,0.544153615,0.637954615
YNL169C,0.08011376,6.721852855,0.544305843,0.638006671
YCR104W,0.305737228,2.751993947,0.547021373,0.641062678
YDL122W,-0.079307818,7.19590388,0.547203382,0.641148993
YDR404C,0.085938757,6.365725921,0.547851476,0.641781268
YGR202C,-0.070838326,6.688967768,0.548510841,0.642387503
YOL131W,-0.526915975,1.589309825,0.548586117,0.642387503
YHR127W,0.109150278,5.178641547,0.548987112,0.642729866
YDR130C,0.125508546,4.753030513,0.549392746,0.643077523
YDR497C,0.070698029,9.449842898,0.551056368,0.644897257
YJL159W,-0.102308785,11.93265401,0.551486822,0.645273389
YFL051C,0.193215762,3.691584912,0.551863764,0.645586772
YJL088W,-0.291919045,2.564175998,0.553130013,0.646940164
YOR268C,0.434765721,1.586120903,0.55352718,0.647276744
YOR060C,0.104510255,4.802113125,0.553677651,0.64732477
YNL274C,0.115724951,5.850578549,0.555869977,0.649759512
YOR160W,0.072906602,5.789154376,0.556217291,0.650037075
YLR168C,0.115777949,4.692667062,0.556350138,0.650063935
YGL232W,0.100305012,5.730894924,0.556822375,0.650487264
YGL188C-A,0.365977187,1.555031786,0.557362435,0.650989643
YDR515W,-0.136497826,4.677207637,0.558170654,0.651804965
YPR202W,0.155932608,4.454073756,0.559445075,0.653164268
YDR067C,0.095843057,5.313249818,0.559869447,0.653530779
YJL217W,0.065199956,7.482483263,0.560527208,0.654169524
YPR085C,0.087461724,5.126338138,0.560829285,0.654392995
YGL119W,0.103206217,5.309050159,0.561322347,0.654817385
YBR217W,0.154553874,4.045703554,0.56141433,0.654817385
YIL084C,-0.102254138,4.707731323,0.56208836,0.655407619
YML133C,-0.548125321,3.327466238,0.562141908,0.655407619
YER051W,0.134728043,4.794502361,0.562301021,0.655463976
YBR060C,-0.117860931,5.603945538,0.562852043,0.655977061
YPL121C,0.838241455,1.162988762,0.563148109,0.656192864
YHR022C,-0.319321213,3.098024884,0.564570719,0.657720998
YDL238C,-0.107645119,5.193865593,0.564774542,0.65782893
YJL179W,0.122953467,4.411731174,0.565069659,0.658043136
YGL206C,0.05847606,7.775545677,0.5654791,0.658290887
YNR063W,-0.258427268,3.035475428,0.565504914,0.658290887
YML112W,0.133494,5.015830782,0.565968738,0.658701224
YNL246W,0.068803178,6.45001153,0.566213973,0.658857046
YER182W,-0.101158047,5.563920251,0.567048167,0.659697995
YKL116C,0.088658801,5.69419211,0.567519556,0.660061447
YER061C,-0.095062147,5.550130683,0.567589682,0.660061447
YJL079C,0.064031606,7.842462645,0.567695235,0.660061447
YDR493W,0.134006529,4.201203005,0.568248368,0.660574773
YMR305C,0.05697609,8.909028484,0.568489431,0.660725194
YGL215W,-0.064528139,7.156077837,0.568763082,0.660913424
YDR416W,0.09950864,5.344595211,0.568947965,0.660998451
YBR176W,0.120745113,4.563825038,0.570009826,0.662102109
YOR335C,-0.051186417,8.646211761,0.570306188,0.662316332
YAL021C,0.057486356,7.040257122,0.572312523,0.664426586
YGL094C,0.072472165,6.391738967,0.572410152,0.664426586
YGR168C,0.126078499,4.91146788,0.572460154,0.664426586
YHR046C,-0.121594575,5.141414671,0.573147186,0.665093528
YDR484W,0.098519039,5.00302726,0.573538135,0.665416695
YDR336W,0.117822358,5.068339191,0.573842102,0.665638839
YOR394C-A,0.361316353,1.647882167,0.574396914,0.666080124
YCR052W,0.069781676,7.133106662,0.574447672,0.666080124
YOR269W,0.138539434,4.843963831,0.574657214,0.66608208
YPL178W,0.063568311,7.099584946,0.5746745,0.66608208
YOR181W,0.083538961,7.789132705,0.575344295,0.666727809
YGL044C,-0.081592695,5.899709627,0.575547254,0.666832407
YMR258C,-0.070717518,6.413002727,0.575859478,0.667063534
YMR001C,0.083083786,5.830632494,0.576848365,0.668078249
YGL148W,-0.053681043,9.049962295,0.577509539,0.668713101
YNL189W,-0.071881973,7.297953168,0.577747315,0.668857536
YPR133W-A,-0.149823129,5.091106016,0.57892241,0.670086835
YNL244C,-0.0861893,8.238797213,0.580524125,0.671809358
YGL189C,0.077495362,10.39510161,0.581958872,0.673338023
YAR020C,0.311882481,2.162667895,0.582282523,0.67358078
YKL138C-A,0.117564018,4.703856895,0.582988529,0.674265661
YGL195W,-0.050292371,8.543948541,0.583577652,0.674815119
YLR139C,0.106161144,5.303663386,0.583921491,0.675080785
YML103C,0.081901695,6.673875369,0.58454813,0.675673234
YCR032W,0.075100238,5.842389281,0.584839022,0.675877441
YPL253C,0.154430564,4.097024992,0.585531385,0.676469582
YJR143C,-0.048071619,7.977920714,0.585580057,0.676469582
YPR070W,0.076542754,5.848151666,0.586554141,0.677396366
YCR059C,0.065695188,6.849566893,0.586611286,0.677396366
YKL165C,-0.101095317,5.634994907,0.588265816,0.679174406
YBR021W,-0.131146693,4.540044097,0.588749309,0.679600011
YOL155W-A,-0.496250827,1.648502813,0.589746806,0.680596642
YHR003C,0.08120027,5.583596681,0.589842755,0.680596642
YHR206W,-0.077214935,6.673445484,0.59042075,0.681130743
YAR066W,0.590878907,2.408214461,0.591064496,0.681740472
YDR239C,-0.112728756,5.231019791,0.591205173,0.681769833
YER076C,0.092157588,5.301659935,0.591584232,0.682074026
YER153C,0.154559334,4.450302279,0.592487451,0.68298232
YER089C,0.077821005,7.964842571,0.593972261,0.68456055
YJR061W,0.095526449,5.094876292,0.594791854,0.685371645
YML096W,-0.097971416,5.121968523,0.595505943,0.686060877
YGR185C,-0.059152119,8.094509984,0.596409563,0.68696815
YPR042C,0.076494509,5.914698639,0.597405775,0.687981699
YIL128W,0.086210684,5.938772516,0.59804358,0.688535053
YOL149W,0.088147327,5.843844232,0.598119008,0.688535053
YLL046C,0.785918998,1.28030708,0.598833737,0.689223735
YOL038C-A,-0.584452118,1.244238638,0.599182004,0.68948587
YOL022C,0.070905683,6.197537183,0.599355453,0.68948587
YMR234W,0.097781631,5.458189304,0.599411072,0.68948587
YFR032C,-0.300821871,2.9364839,0.600761262,0.690818249
YLR277C,-0.092013783,5.59680826,0.600802892,0.690818249
YOL039W,0.067268518,9.68644043,0.601838226,0.691874254
YIL162W,-0.078375545,7.384167297,0.604514561,0.694707592
YKR082W,-0.112779363,5.911185916,0.60453767,0.694707592
YOR354C,0.080329724,6.179024893,0.60492035,0.695012371
YNR012W,-0.169922047,4.683732185,0.605040598,0.695015573
YKL021C,-0.094290972,6.345535018,0.605344457,0.695229649
YER106W,-0.604610229,1.245477208,0.605597077,0.695384806
YPL122C,-0.11673333,5.200481594,0.606095288,0.695821851
YBR263W,0.048301837,8.153654445,0.606325866,0.695951532
YPL038W-A,0.373244286,1.279901934,0.606978602,0.69656563
YGR018C,0.079674954,5.889746171,0.608118296,0.697738212
YPL098C,0.076599532,5.952711729,0.608695407,0.698264971
YOR297C,0.126022299,4.614281009,0.609199937,0.698708282
YPL054W,0.165535806,5.116680083,0.609604815,0.699037149
YJL206C,0.097233594,4.837106145,0.609825017,0.699154161
YPL179W,-0.082202151,7.151452702,0.610508968,0.699760346
YBR250W,0.263139355,2.179720202,0.610590276,0.699760346
YDL092W,0.074825098,6.209476138,0.611107358,0.70021732
YDR173C,0.097349041,4.952655616,0.61174559,0.700812906
YLR451W,0.072716487,5.946227061,0.613645602,0.70285347
YJR008W,-0.079646727,5.723555586,0.614476536,0.703597301
YLR075W,0.037959327,11.74081631,0.614532846,0.703597301
YDR370C,0.094027993,5.091477691,0.617450906,0.706801511
YML024W,-0.0507269,9.785830435,0.618082064,0.707387152
YMR154C,0.10993652,4.591156145,0.619491346,0.708782003
YGL092W,0.068913026,6.85828602,0.619540395,0.708782003
YMR194W,0.078207184,7.919022696,0.619715785,0.708845603
YLR325C,-0.074324082,9.514251333,0.620151287,0.709206642
YJL154C,0.048503174,7.378257707,0.621435055,0.710476359
YJL222W,-0.150860169,5.574785913,0.621501713,0.710476359
YAL058W,0.075771513,5.507110286,0.621628008,0.71048347
YDR197W,0.122252411,4.944203402,0.621749849,0.710485488
YIL160C,-0.170948745,3.948224342,0.622132173,0.710653637
YJL124C,0.060577438,6.758023803,0.622137204,0.710653637
YOR286W,0.078362739,5.907985314,0.622685173,0.711134947
YJR120W,-0.307083989,2.241325123,0.622798935,0.711134947
YOR037W,0.096643371,4.988883113,0.6245209,0.712963567
YBR153W,0.076514001,5.283111812,0.62536076,0.713704103
YJL180C,0.07954746,5.439830944,0.625411419,0.713704103
YGR095C,-0.079086763,6.109197388,0.625551859,0.713704103
YKL008C,-0.081052256,7.15962026,0.625754185,0.713704103
YOR032W-A,-0.573092664,1.320035189,0.62577267,0.713704103
YGL037C,0.043263559,10.03225648,0.626606835,0.714517757
YBR251W,0.078683637,5.600376592,0.627773935,0.715685955
YNL261W,-0.100154883,5.342559836,0.627873211,0.715685955
YKR052C,0.070301587,6.009609402,0.628086831,0.71579156
YGR283C,-0.095123349,5.278325358,0.628385791,0.715994363
YER174C,-0.07953679,5.773581779,0.630413678,0.717806383
YJR158W,1.132751271,0.891758769,0.630548306,0.717806383
Q0050,1.130014258,0.891365699,0.630564178,0.717806383
YHR185C,-1.411472974,0.843231115,0.630796206,0.717806383
YLR412C-A,0.802387621,0.841625883,0.630808284,0.717806383
YMR050C,-0.495015752,4.168244356,0.630814353,0.717806383
YBL008W-A,0.796361803,0.842180302,0.630862643,0.717806383
YDL109C,0.101064243,4.529662075,0.630946594,0.717806383
YIL134C-A,-1.408464337,0.843684651,0.631476432,0.718271059
YKL167C,0.081225111,5.027428612,0.632056498,0.718792677
YPL257W,0.156591912,3.127490922,0.633662289,0.720480354
YMR211W,0.091766294,4.741617809,0.634148673,0.720708899
YLR159C-A,0.227179219,2.880410843,0.63436659,0.720708899
YLR157C-C,0.227174371,2.880410843,0.634401086,0.720708899
YLR156C-A,0.227170266,2.880410843,0.634430289,0.720708899
YLR154C-H,0.227164361,2.880410843,0.634472309,0.720708899
YMR274C,-0.123343485,4.649629032,0.634983124,0.7211507
YOR387C,0.224462511,3.036974255,0.635865391,0.722014109
YJL118W,0.088153831,4.71522986,0.636766284,0.722898331
YIR033W,0.050743415,7.560523391,0.637500345,0.723541739
YOR118W,0.078546807,6.097024081,0.637577594,0.723541739
YGL221C,0.05520619,7.015510693,0.637711784,0.723555249
YCR003W,0.074824392,5.193618744,0.638222879,0.723996314
YGL129C,0.076595839,5.861704285,0.638669855,0.724364487
YOR012W,-0.14974975,3.559916174,0.638991937,0.724530606
YPL280W,0.511747887,1.318345764,0.63914447,0.724530606
YNL199C,-0.070203199,6.434186606,0.639183668,0.724530606
YDR314C,-0.139585646,3.665504807,0.639587311,0.724849286
YKR103W,-0.157095068,3.565257854,0.640688656,0.725958403
YDR261W-A,0.389584819,3.85373921,0.64149058,0.726727889
YDR106W,0.218407618,2.315864333,0.64236462,0.727578763
YPL227C,0.065611291,5.791998898,0.646422546,0.732034871
YGR161C-D,-0.318018541,6.14459057,0.646742276,0.732256803
YPL115C,0.056551181,6.210597077,0.647412665,0.732701707
YMR146C,0.036539752,9.190145458,0.647437108,0.732701707
YHR021W-A,-0.410070859,1.426669726,0.647585894,0.732701707
YML063W,-0.040122817,10.58317499,0.647641074,0.732701707
YPR102C,0.045502772,9.953114042,0.647968045,0.732701707
YLR401C,-0.076937436,6.14766095,0.648059536,0.732701707
YMR251W,-0.093930936,4.371613137,0.648138755,0.732701707
YMR312W,0.071785467,5.276583927,0.648288256,0.732701707
YFR032C-B,0.262143146,2.386367092,0.648438012,0.732701707
YFR002W,-0.067989256,6.429685819,0.648453332,0.732701707
YNL197C,0.050344664,6.92133004,0.648522849,0.732701707
YIL099W,-0.14013801,4.327327459,0.648621183,0.732701707
YIL142W,-0.040297089,8.613035207,0.649004591,0.732876222
YGR034W,-0.041558964,10.05916014,0.64902339,0.732876222
YPL037C,0.03873406,9.568357431,0.649156421,0.732886576
YOR008C-A,-0.540748405,1.392945843,0.649715952,0.733378346
YCR081W,-0.112914721,4.855074043,0.651555661,0.735314677
YDR268W,-0.105341604,4.655848025,0.651929413,0.735596174
YER172C,-0.079591934,6.552136381,0.652448183,0.736036195
YEL015W,0.049996908,7.080094446,0.652568173,0.736036195
YLR052W,0.069481022,5.84865418,0.652757621,0.736109556
YFL033C,0.056520065,6.716518833,0.653884995,0.73724038
YGR112W,0.071525558,5.450483597,0.654786714,0.738074797
YCL010C,0.065105592,6.157729836,0.654874546,0.738074797
YOL093W,-0.08701577,5.72949103,0.655211905,0.738314386
YDL019C,0.052118692,7.596993415,0.655879866,0.738811522
YLR010C,0.168451855,3.236759607,0.655902809,0.738811522
YPR172W,0.06847478,5.415676879,0.658236112,0.74105906
YJL076W,-0.052372812,7.229074319,0.658249265,0.74105906
YIL098C,0.058757661,5.290448008,0.658273858,0.74105906
YHR072W,0.058937339,6.834412789,0.658862352,0.741580471
YML105C,0.056563481,6.366696352,0.65941356,0.742059725
YKL047W,-0.090683308,5.104254922,0.659632084,0.742164488
YML129C,0.052137221,6.4720798,0.659830634,0.742246742
YPL243W,0.074240553,7.088780164,0.661377671,0.743845595
YPL172C,-0.068843345,5.796641831,0.66185987,0.744246456
YMR038C,0.043182364,7.443893201,0.662957116,0.745077761
YJR073C,-0.07939139,7.506996734,0.663024536,0.745077761
YBR090C,0.125190731,3.953158988,0.663026462,0.745077761
YPL049C,-0.039321185,8.079421686,0.663102837,0.745077761
YDL102W,-0.0666826,5.57096419,0.664238565,0.746212187
YOR186W,0.254075586,2.077932932,0.665610767,0.747537589
YLR386W,0.054122063,5.721855397,0.665671042,0.747537589
YHR139C,0.151274089,3.019273343,0.665889638,0.747641174
YFL007W,0.039379952,7.369102143,0.666490054,0.748069436
YMR016C,-0.051681334,6.957372969,0.666523925,0.748069436
YGL178W,0.09384911,6.144892296,0.668658329,0.75032265
YGL209W,-0.058338958,7.878358918,0.669486655,0.750988457
YJR042W,-0.069644536,6.350331757,0.669505511,0.750988457
YPR021C,0.08584483,5.088620914,0.669640025,0.750996973
YDR266C,0.058489018,5.9532563,0.670890346,0.752083533
YGL101W,-0.09480822,5.158376885,0.670927154,0.752083533
YOL019W,-0.068421082,6.258786092,0.670990192,0.752083533
YIL161W,0.101027089,4.738565555,0.671126767,0.752094145
YMR095C,0.238119623,2.460515187,0.67245031,0.753271591
YMR212C,0.062046154,6.465245122,0.672538743,0.753271591
YDR245W,0.049944551,7.307770037,0.672790237,0.753271591
YMR225C,-0.066167813,5.50359613,0.672810236,0.753271591
YBR161W,0.073947451,5.204981819,0.672813986,0.753271591
YGL220W,-0.050621973,6.526778426,0.673193613,0.753554031
YGR154C,-0.10667024,4.425661923,0.673962619,0.754272143
YDR062W,0.040070838,7.781200706,0.674132675,0.754318275
YMR185W,0.113262872,4.484025076,0.674258806,0.754318275
YBR284W,0.100294275,4.206778142,0.674466411,0.754407892
YKR027W,0.065168188,5.622946379,0.675142052,0.75491155
YLL018C-A,-0.063195554,5.245108097,0.675292463,0.75491155
YOR156C,0.075559691,4.749417308,0.675299448,0.75491155
YKR043C,-0.041034405,8.224089307,0.675623791,0.755131464
YML099C,0.064342255,5.898770058,0.676523826,0.755994613
YLR285C-A,0.136911832,3.716105185,0.678446022,0.757923448
YMR247C,-0.087829047,5.883506128,0.678506085,0.757923448
YLL066W-B,-0.234454535,2.101968222,0.679867144,0.75930047
YFL012W,0.343613196,1.555996539,0.680148604,0.759471464
YFR017C,0.074816356,7.336153054,0.681432118,0.760761102
YGL157W,-0.061021769,7.034961112,0.681768396,0.760945823
YFL034C-B,0.067893153,5.395409757,0.681854784,0.760945823
YPL106C,0.030461113,10.09477333,0.682146541,0.761127868
YCR045C,0.063788185,5.523029353,0.682699149,0.761600841
YPL254W,0.08934548,5.509046675,0.683778551,0.762661204
YMR277W,0.05379809,6.560218933,0.68424923,0.763021043
YOR143C,0.119606221,4.564542601,0.68435908,0.763021043
YOR202W,-0.084260753,7.061015881,0.685663835,0.764331747
YDR179W-A,0.125060097,3.588349246,0.686115083,0.764675851
YJL111W,0.038240161,8.483619083,0.68623099,0.764675851
YDR156W,0.077036167,5.299563382,0.686865736,0.765239044
YNR016C,-0.030195105,9.489949597,0.687515917,0.765819217
YHR035W,-0.107830244,3.598855137,0.687768802,0.76595671
YPR158W-B,-0.405634538,5.305225964,0.688009186,0.766080232
YOR305W,0.073433375,5.084983952,0.688265509,0.766172623
YDR279W,0.07436337,5.093205624,0.688443147,0.766172623
YHR021C,-0.040423759,9.335082924,0.688480621,0.766172623
YKL044W,-0.223354687,2.632156658,0.688721384,0.766296433
YIL145C,0.040995018,6.807984794,0.69144584,0.769054226
YCR020C,0.190614052,2.605207595,0.691459943,0.769054226
YPL069C,0.086346691,4.470960514,0.692982029,0.770602267
YDR437W,-0.162544048,3.305489347,0.693856449,0.771371605
YFR012W-A,0.709749851,0.988218116,0.693934604,0.771371605
YCR092C,-0.077454494,5.408342813,0.694211167,0.771534087
YDR166C,0.069048255,5.663869547,0.69446917,0.771609934
YDR169C-A,-1.129405814,0.942691639,0.694540224,0.771609934
YNL081C,0.051096022,6.139974744,0.695431174,0.772454713
YLR445W,-1.131583741,0.942312361,0.695835995,0.772759306
YPL189W,-0.205082989,3.096963475,0.696158038,0.772971873
YOR090C,0.047379267,6.485973457,0.697812325,0.774663326
YLL018C,-0.034553507,9.038180968,0.699816395,0.776742376
YER074W,-0.029345511,10.43104556,0.700135591,0.776950917
YBR295W,0.052072585,5.990444439,0.701393581,0.778200979
YNL153C,0.04469853,6.791192865,0.701963819,0.778687648
YLR179C,0.045444368,8.42183867,0.703156646,0.779864644
YML113W,-0.096533421,4.558826883,0.703719751,0.78034291
YEL053C,0.069608442,5.920944937,0.704505726,0.781068087
YER039C-A,0.154479046,2.902854221,0.705305286,0.781808051
YNL190W,-0.036005841,8.022891099,0.706062334,0.782500624
YHR172W,0.076453323,4.665582473,0.706309415,0.782627867
YJR135W-A,0.058193187,5.347643937,0.707272745,0.783548555
YBR196C-B,0.225202143,1.676600115,0.707462469,0.783548607
YEL017C-A,0.041108211,7.436415399,0.707537639,0.783548607
YIR020C,0.18734158,2.854128217,0.708382438,0.784337366
YPL252C,-0.051966281,6.044608198,0.708865217,0.784725068
YKL120W,0.052593144,5.983363955,0.709303786,0.785063693
YJR111C,0.082960222,5.369386689,0.710609688,0.786361983
YER005W,-0.063210007,6.070152889,0.710744412,0.786364003
YJR066W,0.038846721,6.821163219,0.710889053,0.786376991
YJL051W,0.067893459,5.229451092,0.713400592,0.78900772
YEL011W,0.05045429,9.237738665,0.71437085,0.789933156
YCR046C,0.054862596,6.371772811,0.714993225,0.790473639
YNL073W,0.044467236,6.897296754,0.71537256,0.790745271
YOR298W,-0.187667204,3.793161433,0.715751671,0.791016556
YJL038C,0.259961393,2.241765137,0.717319088,0.792600756
YJL108C,-0.060659587,5.909151067,0.717869445,0.793060774
YNL066W,-0.031694157,8.152481202,0.718094924,0.793161781
YJL136C,-0.031949157,9.729623845,0.718367795,0.793315088
YGL112C,0.065642431,6.194673021,0.719921409,0.794882436
YIL132C,0.151969943,3.256394972,0.72067226,0.795411049
YPR040W,0.049585473,6.007635678,0.72070874,0.795411049
YOR179C,0.064826137,4.938211804,0.720805818,0.795411049
YPR060C,0.074047567,5.291294969,0.720937883,0.795411049
YML025C,0.046878733,5.913989295,0.722127349,0.796574856
YBR066C,0.093014044,5.150976882,0.72464104,0.799198701
YDL104C,-0.081429461,4.29341608,0.725980042,0.80052626
YHR010W,0.028988863,10.248003,0.727391779,0.801933511
YPR186C,-0.078612142,4.500991757,0.7279441,0.802392928
YDR081C,0.062025291,6.058040449,0.728218666,0.80254607
YML077W,0.063828791,5.010666103,0.728469913,0.802673459
YHL004W,-0.042397904,6.459010386,0.730141976,0.804366053
YHR081W,0.065924528,5.873960623,0.730639008,0.804763777
YDR275W,-0.054074438,5.591612243,0.732221937,0.806357193
YDL079C,-0.047844915,6.494105363,0.733972472,0.80802475
YGL256W,-0.057640034,6.203403503,0.7340093,0.80802475
YHR214C-D,0.47681991,1.078479985,0.734158755,0.808038943
YDR030C,0.101133484,3.730199571,0.734884513,0.80868731
YNL207W,-0.079429687,5.671029995,0.735252419,0.808941718
YHR079C-A,-0.704032533,0.990068656,0.735404954,0.808959121
YDL049C,0.051386202,5.292592479,0.736975621,0.810536199
YML065W,-0.058681806,5.751474077,0.737857366,0.811355145
YMR241W,0.044383785,7.018516395,0.73851052,0.811840354
YBR152W,0.074598295,4.004689378,0.738573031,0.811840354
YMR063W,0.121425397,3.467183001,0.739217216,0.812367935
YNL124W,0.051835636,5.586046557,0.739327586,0.812367935
YGL086W,0.048512845,6.189094105,0.741574371,0.814633888
YDL218W,0.179290309,3.244010673,0.741665161,0.814633888
YER148W,0.047572978,6.998767914,0.742534354,0.815437226
YPL105C,0.046366755,7.606991771,0.743210558,0.816028367
YGR132C,0.033850138,7.629687339,0.743652894,0.81621494
YDL202W,0.053886634,5.514230609,0.74365637,0.81621494
YCL059C,-0.049968216,6.951101839,0.743882734,0.816311969
YHR011W,0.069708017,4.803883305,0.744352442,0.81667595
YNL282W,0.101926781,3.966231453,0.747194926,0.819642636
YEL073C,-0.102887612,3.54068998,0.74862937,0.821063945
YJL039C,-0.05808638,6.499611816,0.748911383,0.821221025
YDR017C,-0.054322715,6.873495426,0.749384567,0.821587638
YMR289W,-0.058635503,5.884503516,0.74974331,0.821739488
YPR035W,-0.053317554,10.98390483,0.749800827,0.821739488
YDL108W,-0.064952238,5.290777437,0.750454438,0.822303502
YJR136C,0.066748947,4.760430992,0.751042689,0.822795702
YPL072W,-0.09119493,4.914924763,0.752578839,0.824325989
YDR501W,-0.113479641,3.58617437,0.753679498,0.825378454
YBR097W,-0.055866543,5.211305518,0.753818686,0.825378454
YOL140W,0.070420482,4.603927847,0.754463738,0.825931903
YBR195C,-0.076239197,4.782191334,0.754881141,0.826188337
YMR287C,0.062182488,5.091315277,0.754977241,0.826188337
YMR210W,0.041443823,6.276138338,0.75521095,0.82629127
YGR204W,-0.057926793,9.616376395,0.756524071,0.827574954
YMR186W,-0.027634889,10.47092868,0.757383086,0.828304468
YDR211W,0.034764952,7.145545256,0.757470927,0.828304468
YAL040C,0.051519637,6.498242676,0.759246862,0.830093067
YMR032W,-0.045678267,5.903860429,0.760425768,0.831228389
YOR381W-A,0.325914039,1.163496667,0.762031593,0.832829873
YNR076W,-0.086757722,3.973286861,0.76245343,0.833021728
YLL064C,-0.086757371,3.973286861,0.762488707,0.833021728
YHL048C-A,0.320804503,1.162678525,0.762818009,0.833132788
YNL131W,0.035987232,6.83936748,0.76287197,0.833132788
YOR264W,-0.057484149,6.21799337,0.76317966,0.833315012
YPL202C,0.05159165,5.374876099,0.763335108,0.833330965
YMR101C,0.653157422,1.121354028,0.763669184,0.833541886
YKL004W,-0.042192681,7.017150154,0.764030806,0.833782788
YMR003W,0.101038953,3.583017399,0.764292153,0.833914193
YMR288W,-0.069241869,5.498056233,0.764478415,0.833963639
YOR312C,0.035450483,9.882536329,0.764652714,0.83400002
YLR328W,0.042787681,6.735640828,0.765168057,0.83423848
YGL242C,0.055853619,5.72921205,0.765181797,0.83423848
YMR167W,0.042916549,5.323786765,0.765294316,0.83423848
YKL027W,-0.046269141,5.901349884,0.765457906,0.834263111
YNL249C,0.068047232,4.45777877,0.766398939,0.835134903
YPL130W,-0.234488131,2.333039225,0.767110224,0.835756067
YOR253W,0.0368394,5.848757746,0.767733842,0.83613646
YML010W,-0.032825136,8.691307959,0.767741996,0.83613646
YDL191W,0.028399875,10.00764135,0.76842102,0.836721969
YDR482C,0.064822582,6.131193697,0.769639026,0.837894042
YKL134C,0.055910553,4.863299141,0.770546556,0.838727736
YIL037C,-0.10645044,3.730692223,0.772624081,0.84083441
